Section,What,Phrase
Conclusions,Announcing Conclusions,"In conclusion / In summary / In sum / To sum up, our work ..."
Conclusions,Announcing Conclusions,work has led us to conclude / the conclusion that ...
Conclusions,Announcing Conclusions,We have presented / outlined / described ...
Conclusions,Announcing Conclusions,In this paper / study / review we have ...
Conclusions,Announcing Conclusions, This paper has investigated / explained / given an account of ...
Conclusions,Acknowledgment,"This work was carried out / performed within the framework of an EU project and was partly
sponsored by …"
Conclusions,Acknowledgment,This research was made possible by / benefited from a grant from …
Conclusions,Acknowledgment,"Support was given by the Institute of X, who funded the work in all its / its initial stages"
Conclusions,Acknowledgment,"We thank / would like to thank the following people for their support, without whose help this work
would never have been possible:"
Conclusions,Acknowledgment,"We gratefully acknowledge the help provided by Dr. X / constructive comments of the anonymous
referees."
Conclusions,Acknowledgment,We are indebted / particularly grateful to Dr. Alvarez for …
Conclusions,Acknowledgment,"We thank / are grateful to / gratefully acknowledge Dr. Y for her help / valuable suggestions and
discussions."
Conclusions,Acknowledgment,"Thanks are also due to / The authors wish to thank Prof. X, who gave us much valuable advice in the
early stages of this work."
Conclusions,Acknowledgment,Dr. Y collaborated with / worked alongside our staff during this research project.
Conclusions,Acknowledgment,"We also thank Prof. Lim for her ongoing collaboration with our department / technical assistance in
all our experimental work."
Conclusions,Future Work Already Underway,We are currently / now / in the process of investigating ...
Conclusions,Future Work Already Underway,Research into solving this problem is already underway / in progress.Research into solving this problem is already underway / in progress.
Conclusions,Future Work Already Underway,To further our research we plan / are planning / intend to ...
Conclusions,Future Work Already Underway,Future work will concentrate on / focus on / explore / investigate / look into ...
Conclusions,Future Work Already Underway,"Further studies, which take X into account, will need to be undertaken / performed."
Conclusions,Future Work Already Underway,We hope that further tests will prove our theory / confirm our findings.
Conclusions,Future Work Already Underway,These topics are reserved for / deferred to future work.
Conclusions,Possible futures of X,The next decade is likely to see / witness a considerable rise in X
Conclusions,Possible futures of X,In the next few years X will become / is likely to have become
Conclusions,Possible futures of X,"Within the next few years, X is set / destined / likely to become an important component in …"
Conclusions,Possible futures of X,"By 2025 / Within the next ten years, X will have become …"
Conclusions,Possible futures of X,X will soon / shortly / rapidly / inevitably be an issue that …
Conclusions,Proposed for third parties to carry out,Further work needs to be done / carried out / performed to establish whether ...
Conclusions,Proposed for third parties to carry out,Further work needs to be done / carried out / performed to establish whether ...
Conclusions,Proposed for third parties to carry out,"More / Additional / Further work on X, would help us to do Y."
Conclusions,Proposed for third parties to carry out,"More / Additional / Further work on X, would help us to do Y."
Conclusions,Proposed for third parties to carry out,It is recommended / We recommend / We suggest / We propose that further research should be undertaken in the following areas:
Conclusions,Proposed for third parties to carry out,"More broadly / On a wider level, research is also needed to determine ...."
Conclusions,Proposed for third parties to carry out,This research has raised / given rise to / thrown up many questions in need of further investigation / study / examination.
Conclusions,Proposed for third parties to carry out,This is an important / a fundamental / a vital issue for future research.
Conclusions,Proposed for third parties to carry out,The design and development of Xs will challenge / be a challenge for us for years.
Conclusions,Proposed for third parties to carry out,Future work should concentrate / focus on enhancing the quality of X.
Conclusions,Proposed for third parties to carry out,Future studies should target / aim at / examine / deal with / address X.
Conclusions,Proposed for third parties to carry out,Future studies on the current topic are therefore required / needed / recommended / suggested in order to establish / verify / validate / elucidate ...
Conclusions,Proposed for third parties to carry out,Our results are encouraging / promising and should be validated by a larger sample size.
Conclusions,Proposed for third parties to carry out,These findings suggest the following directions / opportunities for future research: ....
Conclusions,Proposed for third parties to carry out,An important issue / matter / question / problem to resolve for future studies is ...
Conclusions,Proposed for third parties to carry out,"The prospect of being able to do X, serves as a continuous incentive for / stimulus for / impulse for / spur to future research."
Conclusions,Highlight achievements,Our research / This paper has highlighted / stressed / underlined the importance of ...
Conclusions,Highlight achievements,We have managed to do / succeeded in doing / been able to do / found a way to do X.
Conclusions,Highlight achievements,We have found an innovative / a new / a novel / a cutting-edge solution for ...
Conclusions,Highlight achievements,We have found an innovative / a new / a novel / a cutting-edge solution for ...
Conclusions,Highlight achievements,We have devised a methodology / procedure / strategy which ...
Conclusions,Highlight achievements,We have confirmed / provided further evidence / demonstrated that ...
Conclusions,Highlight achievements,Considerable progress has been made / insight has been gained with regard to ...
Conclusions,Highlight achievements,"Taken together, these findings suggest / implicate / highlight a role for X"
Conclusions,Highlight achievements,Our study provides the framework / a springboard / the backbone / the basis / a blueprint / an agenda / a stimulus / encouragement for a new way to do X.
Conclusions,Highlight achievements,The strength / strong point / value / impact / benefit / usefulness / significance / importance of our work / study / contribution lies in ...
Conclusions,Highlight achievements,X provides a powerful tool / methodology for ...
Conclusions,Highlight achievements,"X ensures / guarantees that X will do Y, and it can be generalized to ..."
Conclusions,Highlight achievements,Our investigations into this area are still ongoing / in progress and seem likely to confirm our hypothesis.
Conclusions,Highlight achievements,These findings add to a growing body of literature on / substantially to our understanding of X.
Conclusions,Highlight achievements,Our work clearly has some limitations. Nevertheless / Despite this we believe our work could be the basis / a framework / a starting point / a springboard for
Conclusions,Hightliging limitations,"Despite the fact that there are / In spite of the fact that / Although there are limitations due to Y, we ..."
Conclusions,Hightliging limitations,The most important limitation lies in / is due to / is a result of the fact that ...
Conclusions,Hightliging limitations,The current study was limited by / unable to / not specifically designed to...
Conclusions,Hightliging limitations,The present study has only investigated / examined X. Therefore / Consequently ...
Conclusions,Hightliging limitations,"The project / analysis / testing / sampling was limited in several ways. First, ..."
Conclusions,Hightliging limitations,"Finally, a number of potential limitations / weaknesses / shortfalls / shortcomings / weak points need to be considered. First, ..."
Conclusions,Hightliging limitations,"However, given the small sample size, caution must be exercised / taken / used / applied."
Conclusions,Hightliging limitations,The findings might not be transferable to / generalized to / representative of ...
Conclusions,Hightliging limitations,The picture / situation is thus still incomplete.
Conclusions,Outlining possible applications and implications of your work,This study is the first step / has gone some way towards enhancing our understanding of ...
Conclusions,Outlining possible applications and implications of your work,These observations have several / three main / many implications for research into ...
Conclusions,Outlining possible applications and implications of your work,This work has revealed / shown / highlighted / demonstrated / proved that ...
Conclusions,Outlining possible applications and implications of your work,The present findings might help to solve / have important implications for solving / suggest several courses of action in order to solve this problem.
Conclusions,Outlining possible applications and implications of your work,X is suitable for / has the potential to ...
Conclusions,Outlining possible applications and implications of your work,Our method / technique / approach / procedure could be applied to ...
Conclusions,Outlining possible applications and implications of your work,One possible / potential / promising application of our technique would be ...
Conclusions,Outlining possible applications and implications of your work,Results so far have been very promising / encouraging and ...
Conclusions,Outlining possible applications and implications of your work,This approach has the potential / requirements / characteristics / features to ...
Conclusions,Outlining possible applications and implications of your work,This could eventually / conceivably / potentially / hypothetically lead to ...
Conclusions,Outlining possible applications and implications of your work,This study is the first step / has gone some way towards enhancing our understanding of ...
Conclusions,Outlining possible applications and implications of your work,These observations have several / three main / many implications for research into ...
Conclusions,Outlining possible applications and implications of your work,This work has revealed / shown / highlighted / demonstrated / proved that ...
Conclusions,Outlining possible applications and implications of your work,The present findings might help to solve / have important implications for solving / suggest several courses of action in order to solve this problem.
Conclusions,Outlining possible applications and implications of your work,X is suitable for / has the potential to ...
Conclusions,Outlining possible applications and implications of your work,Our method / technique / approach / procedure could be applied to ...
Conclusions,Outlining possible applications and implications of your work,One possible / potential / promising application of our technique would be ...
Conclusions,Outlining possible applications and implications of your work,Results so far have been very promising / encouraging and ...
Conclusions,Outlining possible applications and implications of your work,This approach has the potential / requirements / characteristics / features to ...
Conclusions,Outlining possible applications and implications of your work,This could eventually / conceivably / potentially / hypothetically lead to ...
Conclusions,Restating results,The evidence from this study suggests / implies / points towards the idea / intimates that ...
Conclusions,Restating results,The results / findings of this study indicate / support the idea / suggest that ...
Conclusions,Restating results,"In general, / Taken together, these results suggest / would seem to suggest that ..."
Conclusions,Restating results,An implication / A consequence / The upshot of this is the possibility that ...
Definitions,Key terminologies,The term ‘X’ is generally understood to mean / has come to be used to refer to / has been applied to ...
Definitions,Key terminologies," In the literature, X usually refers / often refers / tends to be used to refer to ..."
Definitions,Key terminologies,"In the field of X, several / various / many definitions of Y can be found."
Definitions,Key terminologies,The term X is / was / has been used by Molotov [2011] to refer to ...
Definitions,Key terminologies,Molotov uses the term X [2011] to refer to / denominate ...
Definitions,Key terminologies,X is defined by Peng [1990] to refer to / to mean ...
Definitions,Key terminologies,"Vitous [2015] has provided / put forward / proposed a new definition of X, in which ..."
Definitions,Key terminologies,X is defined / identified / described as ... [Njimi 2004].
Definitions,Key terminologies,In the literature there seems to be no general definition of X / a general definition of X is lacking / there is no clear definition of X.
Definitions,Key terminologies,"Several authors have attempted to define X, but as yet / currently / at the time of writing there is still no accepted definition."
Definitions,Key terminologies,"In broad / general terms, X is / can be defined as a way to ..."
Definitions,Key terminologies,The broad / general / generally accepted use of the term X refers to ...
Definitions,Key terminologies,X is sometimes equated with / embodies a series of ...
Definitions,Key terminologies,"X, Y and Z are three kinds / types / categories / classes of languages."
Definitions,Key terminologies,"There are three kinds of languages: / The three kinds of languages are: / Languages can be divided into three kinds: X, Y and Z."
Definitions,How use terminologies and acronyms,The acronym PC stands for / denotes ...The acronym PC stands for / denotes ...
Definitions,How use terminologies and acronyms,The subjects (henceforth named / hereafter ‘X’) are...
Definitions,How use terminologies and acronyms,"The subject, which we shall call / refer to as ‘X’, is ..."
Definitions,How use terminologies and acronyms,"Throughout this paper / section we use the terms ‘mafia’ and ‘the mob’ interchangeably, following /"
Definitions,How use terminologies and acronyms,in accordance with the practice of this department where this study was conducted.
Definitions,How use terminologies and acronyms,"The fonts, i.e. / that is to say the form of the characters, are of various types."
Definitions,How use terminologies and acronyms,"There are three different types, namely / specifically: X, Y and Z."
Definitions,How use terminologies and acronyms,Throughout the / In this paper we use / will use the term X to refer to ...
Definitions,How use terminologies and acronyms,In this chapter X is used / will be used to refer to ...
Definitions,How use terminologies and acronyms,In this paper the standard meaning of X is / will be used ..
Definitions,How use terminologies and acronyms,This aspect is / will be dealt with in more detail in Sect. 2.
Definitions,How use terminologies and acronyms,We will see / learn / appreciate how relevant this is in the next subsection.
Introduction,Acknowledgment,This work was carried out / performed within the framework of an EU project and was partly sponsored by ...
Introduction,Acknowledgment,This research was made possible by / benefited from a grant from ...
Introduction,Acknowledgment,"Support was given by the Institute of X, who funded the work in all its / its initial stages."
Introduction,Acknowledgment,"We thank / would like to thank the following people for their support, without whose help this work"
Introduction,Acknowledgment,would never have been possible:
Introduction,Acknowledgment,We gratefully acknowledge the help provided by Dr. X / constructive comments of the anonymous referees.
Introduction,Acknowledgment,We are indebted / particularly grateful to Dr. Alvarez for ...
Introduction,Acknowledgment,We thank / are grateful to / gratefully acknowledge Dr. Y for her help / valuable suggestions and discussions
Introduction,Acknowledgment,"Thanks are also due to / The authors wish to thank Prof. X, who gave us much valuable advice in the early stages of this work"
Introduction,Acknowledgment,Dr. Y collaborated with / worked alongside our staff during this research project.
Introduction,Acknowledgment,We also thank Prof. Lim for her ongoing collaboration with our department / technical assistance in all our experimental work.
Introduction,Give Structure paper,This paper is organized as follows / divided into five sections.
Introduction,Give Structure paper,The first section / Section 1 gives a brief overview of ...
Introduction,Give Structure paper,The second section examines / analyses ...
Introduction,Give Structure paper,In the third section a case study is presented / analyzed ...
Introduction,Give Structure paper,A new methodology is described / outlined in the fourth section ...
Introduction,Give Structure paper,We / I propose a new procedure in Section 4.
Introduction,Give Structure paper,Some / Our conclusions are drawn in the final section.
Introduction,Give Structure paper,This paper / chapter / section / subsection begins by examining ...
Introduction,Give Structure paper,The next chapter looks at / examines / investigates the question of ...
Introduction,Give Structure paper,Problems / Questions / Issues regarding X are discussed in later sections.
Introduction,Give Structure paper,A discussion of Y is / falls outside the scope of this paper.
Introduction,Give Structure paper,"For reasons of space, Y is not addressed / dealt with / considered in this paper."
Introduction,Indicating the gap in knowledge,Few researchers have addressed the problem / issue / question of …
Introduction,Indicating the gap in knowledge,Previous work has only focused on / been limited to / failed to address …
Introduction,Indicating the gap in knowledge,A basic / common / fundamental / crucial / major issue of …
Introduction,Indicating the gap in knowledge,The central / core problem ofA challenging / An intriguing / An important / A neglected area in the field of …
Introduction,Indicating the gap in knowledge,Current solutions to X are inconsistent / inadequate / incorrect / ineffective / inefficient / oversimplistic / unsatisfactory
Introduction,Indicating the gap in knowledge,Many hypotheses regarding X appear to be ill-defined / unfounded / not well grounded /unsupported / questionable / disputable / debatable
Introduction,Indicating the gap in knowledge,The characteristics of X are not well understood / are misunderstood / have not been dealt with indepth.It is not yet known / has not yet been established whether X can do Y.X is still poorly / not widely understood.X is often impractical / not feasible / costly The characteristics of X are not well understood / are misunderstood / have not been dealt with indepth.It is not yet known / has not yet been established whether X can do Y.X is still poorly / not widely understood.X is often impractical / not feasible / costly 
Introduction,Indicating the gap in knowledge,Techniques to solve X are computationally demanding / subject to high overheads / time consuming /impractical / frequently unfeasible.A major defect / difficulty / drawback / disadvantage / flaw of X is …
Introduction,Indicating the gap in knowledge,One of the main issues in our knowledge of / what we know about X is a lack of …
Introduction,Indicating the gap in knowledge,This particular / specific area of X has been overlooked / has been neglected / remains unclear …
Introduction,Indicating the gap in knowledge,"Despite this interest, no one to the best of our knowledge / as far as we know has studied …"
Introduction,Indicating the gap in knowledge,"Although this approach is interesting, it suffers from / fails to take into account / does not allow for…"
Introduction,Indicating the gap in knowledge,"In spite of / Despite its shortcomings, this method has been widely applied to …However, there is still a need for / has been little discussion on …"
Introduction,Indicating the gap in knowledge,"Moreover, other solutions / research programs / approaches have failed to provide …Most studies have only focused / tended to focus on …"
Introduction,Indicating the gap in knowledge,To date / Until now this methodology has only been applied to …There is still some / much / considerable controversy surrounding …
Introduction,Indicating the gap in knowledge,There has been some disagreement concerning / regarding / with regard to whetherThere is little / no general agreement on …
Introduction,Indicating the gap in knowledge,The community has raised some issues / concerns about …Concerns have arisen / been raised which question / call into question the validity of …
Introduction,Indicating the gap in knowledge,"In the light of recent events in x, there is now some / much / considerable concern about …"
Introduction,outlining past-present history,Last century X was considered to be / viewed as / seen as the most …
Introduction,outlining past-present history,Initial / Preliminary / The first studies of X considered it to be
Introduction,outlining past-present history,"Traditionally X / In the history of X, the focus has always been …"
Introduction,outlining past-present history,Scientists / Researchers / Experts have always seen X as …
Introduction,outlining past-present history,Until now / For many years / Since 1993 Xs have been considered as …
Introduction,outlining past-present history,X has received much attention in the last two years / in the past decade / over the last two decades …
Introduction,outlining past-present history,For the past five years / Since 2011 there has been a rapid rise in the use of Xs
Introduction,outlining past-present history,The last two years have witnessed / seen a huge growth in X …
Introduction,outlining past-present history,The past decade / last year has seen a renewed importance in X …
Introduction,outlining past-present history,Recent developments in / findings regarding X have led to …
Introduction,outlining past-present history,X has become a central / an important / a critical issue in …
Introduction,sating aim your paper,• In this report / paper / review / study we …
Introduction,sating aim your paper,• This paper outlines / proposes / describes / presents a new approach to …
Introduction,sating aim your paper,• This paper examines / seeks to address / focuses on / discusses / investigates how to solve …
Introduction,sating aim your paper,• This paper is an overview of / a review of / a report on / a preliminary attempt to …
Introduction,sating aim your paper,• The present paper aims to validate / call into question / refute Peng’s findings regarding …
Introduction,sating aim your paper,• X is presented / described / analyzed / computed / investigated / examined / introduced / discussed inorder to …
Introduction,sating aim your paper,• The aim of our work / research / study / analysis was to further / extend / widen / broaden currentknowledge of …
Introduction,sating aim your paper,• Our knowledge of X is largely based on very limited data.
Introduction,sating aim your paper,• The aim of the research was thus /therefore / consequently to
Introduction,sating aim your paper,• The aim of this study is to study / evaluate / validate / determine / examine / analyze / calculate /estimate / formulate …
Introduction,sating aim your paper,• This paper calls into question / takes a new look at / re-examines / revisits / sheds new light on …
Introduction,sating aim your paper,• With this in mind / Within the framework of these criteria / In this context we tried to …
Introduction,sating aim your paper,• We undertook this study / initiated this research / developed this methodology to …
Introduction,sating aim your paper,• We believe that we have found / developed / discovered / designed an innovative solution to …
Introduction,sating aim your paper,• We describe / present / consider / analyze a novel / simple / radical / interesting solution for …
Introduction,why  topic is important,X is the main / leading / primary / major cause of ..
Introduction,why  topic is important,Xs are a common / useful / critical part of…
Introduction,why  topic is important,Xs are among the most widely used / commonly discussed / well-known / well-documented /widespread / commonly investigated types of …
Introduction,why  topic is important,X is recognized as being / believed to be / widely considered to be the most important …
Introduction,why  topic is important,It is well known / generally accepted / common knowledge that X is …
Introduction,why  topic is important,X is increasingly becoming / set to become a vital factor in …
Introduction,why  topic is important,Xs are undergoing a revolution / generating considerable interest in terms of …
Introduction,why  topic is important,Xs are attracting considerable / increasing / widespread interest due to …
Introduction,why  topic is important,X has many uses / roles / applications in the field of …
Introduction,why  topic is important,A striking / useful / remarkable feature of …
Introduction,why  topic is important,The main / principal / fundamental characteristics of X are:
Introduction,why  topic is important,X accounts / is responsible for
Paper Structure,"making transations, focusing on a new topic",• If we now turn to / Turning now to / Let us know look at the second part ...
Paper Structure,"making transations, focusing on a new topic",• As far as X is / Xs are concerned ...
Paper Structure,"making transations, focusing on a new topic","• As regards / Regarding / Regarding the use of / As for X, it was found that ..."
Paper Structure,referring back to your research aim,"As stated in the Introduction, our main aim / objective / target / purpose / goal was to ..."
Paper Structure,referring back to your research aim,"As stated in the Introduction, the research was conducted / undertaken / carried out in order to ..."
Paper Structure,referring back to your research aim,"Given that / Since our main aim was, as mentioned in the Introduction, to ..."
Paper Structure,referring back to your research aim,"Before interpreting our results, we remind the reader of / would just like to restate our main aims."
Paper Structure,referring back to your research aim,"Returning to the hypothesis / question posed at the beginning of this study, it is now possible to state that ..."
Paper Structure,referring backwards and forwards in the paper,"• As was mentioned / stated / noted / discussed / reported in the Methods, ..."
Paper Structure,referring backwards and forwards in the paper,• As reported above / previously / earlier / before ...
Paper Structure,referring backwards and forwards in the paper,• As mentioned / stated / outlined in the literature review ...
Paper Structure,referring backwards and forwards in the paper,• The above- / afore-mentioned X is ...
Paper Structure,referring backwards and forwards in the paper,• More details on this will be given below / in the next section / in the appendix.
Paper Structure,referring backwards and forwards in the paper,• The following is / Here follows / Below is a list of ...
Paper Structure,referring backwards and forwards in the paper,• Please refer to Appendix 2 / Table 6 / the Supplementary Material for....
Paper Structure,referring outside the paper,• See the respective handbook [Ref] for a description of X.
Paper Structure,referring outside the paper,• For a detailed review on this topic see [Ref].
Paper Structure,referring outside the paper,• More details on this topic can be found in [Ref].
Paper Structure,referring to tables and figures,• Table 1 compares / lists / details / summarizes the data on X.
Paper Structure,referring to tables and figures,• Table 2 proves / shows / demonstrates / illustrates / highlights that X is ...
Paper Structure,referring to tables and figures,• Figure 1 presents / reports / shows / details the data on X.
Paper Structure,referring to tables and figures,• Figure 3 pinpoints / indicates exactly where X meets Y.
Paper Structure,referring to tables and figures,"• As shown / highlighted / illustrated / detailed / can be seen in Fig. 1, the value of ..."
Paper Structure,referring to tables and figures,• The value of X is greater when Y = 2 (Fig. 1 / Eq. 2)
Paper Structure,referring to tables and figures,• The results on X can be seen / are compared / are presented in Fig. 1.
Paper Structure,referring to tables and figures,• From the graph / photo / chart / histogram we can see / note that ...
Paper Structure,referring to tables and figures,• It can be seen in / is apparent from Fig. 1 that ...
Paper Structure,referring to tables and figures,• We observe / note from Table 1 that ..
Paper Structure,referring to tables and figures,• The graph above / below / to the left / to the right shows that ...
Paper Structure,referring to tables and figures,• Figure 8 shows a clear trend / significant difference in ...
Paper Structure,referring to tables and figures,• The table is revealing / interesting in several ways. First ...
Related Work,giving general panorama,• There is a considerable / vast amount of literature on ...
Related Work,giving general panorama,• In the literature there are many / several / a surprising number of / few examples of ...
Related Work,giving general panorama,• What we know / is known about X is largely based on ...
Related Work,giving general panorama,• Much / Not much / Very little is known about ...
Related Work,giving general panorama,• Many / Few studies have been published on ... [Ref]
Related Work,giving general panorama,• Various approaches have been proposed / put forward / suggested / hypothesized to solve this issue [Ref].
Related Work,giving general panorama,• X has been identified / indicated as being ... [Ref]
Related Work,giving general panorama,• X has been shown / demonstrated / proved / found to be ... [Ref]
Related Work,giving general panorama,• X has been widely investigated / studied / addressed ... [Ref]
Related Work,giving general panorama,• Xs have been receiving / gaining much attention due to ...
Related Work,giving general panorama,"• In the traditional / classical approach, X is used to ..."
Related Work,giving general panorama,• In recent years there has been considerable / growing interest in ... [Ref]
Related Work,giving general panorama,• A growing body of literature has examined / investigated / studied / analyzed / evaluated ... [Ref]
Related Work,giving general panorama,"• Much work on the potential of X has been carried out [Ref], yet / however there are still some critical issues"
Related Work,highlighting limitations previous / no name,• Research has tended to focus on X rather than Y. An additional problem is that / Moreover X is ...
Related Work,highlighting limitations previous / no name,• The main limitation / downside / disadvantage / pitfall / shortfall of X is ...
Related Work,highlighting limitations previous / no name,• One of the major drawbacks to adopting / using / exploiting this system is ...
Related Work,highlighting limitations previous / no name,• This is something of a pitfall / disadvantage ...
Related Work,highlighting limitations previous / no name,• A well-known / major / serious criticism of X is ...
Related Work,highlighting limitations previous / no name,• A key problem with much of the literature on / regarding / in relation to X is that ...
Related Work,highlighting limitations previous / no name,• This raises many questions about / as to / regarding whether X should be used for ...
Related Work,highlighting limitations previous / no name,• One question / issue that needs to be asked / raised is ...
Related Work,highlighting limitations previous / no name,"• Unfortunately, it does not / fails to / neglects to explain why ..."
Related Work,highlighting limitations previous / no name,• This method suffers from a number / series / plethora of pitfalls.
Related Work,highlighting limitations previous / no name,• There is still considerable ambiguity / disagreement / uncertainty with regard to ...
Related Work,highlighting limitations previous / no name,"• Many experts contend, however / instead / on the other hand, that this evidence is not conclusive."
Related Work,highlighting limitations previous / no name,"• A related hypothesis holds / maintains that X is equal to Y, suggesting / indicating that ..."
Related Work,highlighting limitations previous / no name,• Other observations indicate / would seem to suggest that this explanation is insuffic
Related Work,hightlighting limitations previous / name,• Peng [31] claimed / contended that X is ... but she failed to provide adequate proof of this finding.
Related Work,hightlighting limitations previous / name,• Peng’s findings do not seem / appear to support his conclusions.
Related Work,hightlighting limitations previous / name,"• This has led authors such as / for example / for instance Mithran [32], Yasmin [34] and Hai [35] to investigate .."
Related Work,hightlighting limitations previous / name,• The shortcomings / pitfalls / flaws of their method have been clearly recognized.
Related Work,hightlighting limitations previous / name,"• A serious weakness / limitation / drawback with this argument, however, is that ..."
Related Work,hightlighting limitations previous / name,• Their approach is not well suited to / appropriate for / suitable for ...
Related Work,hightlighting limitations previous / name,• The main weakness in their study is that they make no attempt to ... / offer no explanation for ... / they overlook ...
Related Work,hightlighting limitations previous / name,• Their experiments were marred / flawed / undermined by X.
Related Work,hightlighting limitations previous / name,• X is the major flaw in / drawback to / disadvantage of their experiments.
Related Work,hightlighting limitations previous / name,• The major defect in their experiments is that they entail tedious / repetitive / time-consuming / laborious / labor-intensive calculations with regard to ...
Related Work,hightlighting limitations previous / name,• Such an unreasonable / unjustified / inappropriate / unsuitable / misleading assumption can lead to 16.17.18.serious / grave consequences with regard to ...
Related Work,hightlighting limitations previous / name,• Their claims seem to be somewhat exaggerated / inaccurate / unreliable / speculative / superficial ...
Related Work,hightlighting limitations previous / name,"• In our view, their findings are only conjectures / speculations based on unjustified / implausible / unsatisfactory / ambivalent / unsubstantiated assumptions."
Related Work,hightlighting limitations previous / name,• Their paper / work / study / research / approach / findings / results might have been more interesting / innovative / useful / convincing / persuasive if ...
Related Work,hightlighting limitations previous / name,• Their attempts to do X are cumbersome / unnecessarily complicated / financially unfeasible ...
Related Work,hightlighting limitations previous / name,• Their explanations are superficial / impenetrable / doubtful / confusing / misleading / irrelevant ...
Related Work,hightlighting limitations previous / name,• Another / An additional weakness is ...
Related Work,hightlighting limitations previous / name,• An even greater source of concern / issue / problem is ...
Related Work,mentioning positive aspects of others work,• Smith’s [22] use of X is fully justified / very plausible / endorsed by experience.
Related Work,mentioning positive aspects of others work,• Kamos’s [23] assumptions seem to be realistic / well-founded / well-grounded / plausible /
Related Work,mentioning positive aspects of others work,• reasonable / acceptable.
Related Work,mentioning positive aspects of others work,• The equations given in [24] are accurate / comprehensive ...
Related Work,mentioning positive aspects of others work,• It has been suggested [25] that ... and this seems to be a reliable / useful / innovative approach ...
Related Work,outlining similarities with other authors,• he set up we used can be found / is reported / is detailed in [Ref 2].
Related Work,outlining similarities with other authors,• Our experimental set up bears a close resemblance to / is reminiscent of / is based on / is a variation on / was inspired by / owes a lot to / is more or less identical to / is practically the same as the one proposed by Smith [2014].
Related Work,outlining similarities with other authors,"• We used a variation of Smith’s procedure. In fact / Specifically, in our procedure we ..."
Related Work,outlining similarities with other authors,"• Our steps proceed very much in the same way as / follow what is indicated in [Ref. 2]. First, ..."
Related Work,outlining similarities with other authors,• The procedure used is as described / explained / reported / proposed by Sakamoto [2013].
